IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
IpAddress,161.97.186.175,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,161.97.187.42,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,193.187.129.143,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,213.136.80.73,,Block,High,PCPJack Infrastructure IP,IP hardcoded into bootstrap.sh as attacker-owned infrastructure. Geolocated to Germany (VPS). Excluded from self-targeting blocklist.,Block all inbound and outbound connections. Investigate any historical connections from endpoints.,,,T1071,TRUE
IpAddress,83.142.209.203,,Block,High,TeamPCP C2 IP - Telnyx Payload,TeamPCP C2 server delivering WAV steganography payloads (hangup.wav / ringtone.wav) via port 8080 containing XOR-encrypted second-stage malware.,Block all connections. Investigate hosts that contacted this IP for TeamPCP infection. Check for msbuild.exe in Startup folder (Windows) and tpcp.tar.gz exfil.,,,T1071,TRUE
DomainName,models.litellm.cloud,,Block,High,TeamPCP LiteLLM Exfiltration C2,TeamPCP credential exfiltration endpoint used by malicious litellm PyPI packages 1.82.7 and 1.82.8. Receives AES-256-CBC encrypted stolen credentials.,Block outbound traffic. Hunt for litellm_init.pth in Python site-packages. Rotate all credentials on affected hosts.,,,T1071.001,TRUE
DomainName,checkmarx.zone,,Block,High,TeamPCP Backdoor Polling Domain,TeamPCP persistence backdoor polls this domain every 50 minutes for follow-on payloads. Installed at ~/.config/sysmon/sysmon.py by LiteLLM malicious packages.,Block outbound DNS and HTTP. Hunt for ~/.config/sysmon/sysmon.py on Linux/macOS systems. Remove persistence immediately.,,,T1071.001,TRUE
FileSha1,a20a9924d92c2b06d82b79c0fe87451c650cabec,,Block,High,PCPJack bootstrap.sh Dropper v1,Primary PCPJack dropper shell script. Sets up environment installs Python downloads 6 Python worm modules establishes persistence and self-deletes.,Isolate affected host. Hunt for /var/lib/.spm/ working directory. Remove sys-monitor.service or spm-worker.service persistence.,,,T1059.004,TRUE
FileSha1,c2dd8051d89c4efa71bd67d2df7d9b4bc3e67810,,Block,High,PCPJack bootstrap.sh Dropper v2,Alternate variant of PCPJack dropper shell script. Same functionality as v1 - sets up environment downloads worm modules and self-deletes.,Isolate affected host. Hunt for /var/lib/.spm/ working directory. Remove sys-monitor.service or spm-worker.service persistence.,,,T1059.004,TRUE
FileSha1,339cbf61c80f757085c5afb7304d69f323bdf87a,,Block,High,PCPJack check.sh - Second Toolset Dropper,858-line shell script that detects CPU architecture deploys matching Sliver C2 beacon harvests credentials from 30+ services and exfiltrates to cdn.cloudfront-js.com:8443.,Isolate host. Remove /var/tmp/apt-daily-upgrade (Sliver binary). Block cdn.cloudfront-js.com. Rotate all API keys and cloud credentials.,,,T1059.004,TRUE
FileSha1,0b86434ca5145636d745222f7e49c903ce6ef538,,Block,High,PCPJack worm.py / monitor.py - Main Orchestrator,Core PCPJack worm orchestrator. Steals local credentials propagates via 5 CVEs uses Telegram for C2 and coordinates all modules. Renamed to monitor.py on disk.,Isolate host. Remove /var/lib/.spm/monitor.py and associated service. Block Telegram bot API if not business-required. Rotate all credentials.,,,T1059.006,TRUE
FileSha1,9c7ab48c9fdbbeecdad8433529bdab38584f0e25,,Block,High,PCPJack parser.py / utils.py - Credential Extractor,Credential extraction engine using regex to identify and categorize stolen API keys secrets SMTP credentials cryptocurrency and cloud service tokens.,Rotate all credentials on affected host. Review harvest.jsonl for scope of credential theft. Alert SOC for downstream account compromise.,,,T1552.001,TRUE
FileSha1,fed52a4bbac7b5b6ae4f76cab3eadd67e79227e3,,Block,High,PCPJack lateral.py / _lat.py - Lateral Movement,Lateral movement module targeting SSH Kubernetes Docker Redis RayML and MongoDB. Performs container escapes and Redis cron rewrite for persistence.,Audit Kubernetes RBAC and service account tokens. Check Docker socket exposure. Scan for Redis config rewrite persistence. Rotate SSH keys.,,,T1021.004,TRUE
FileSha1,2cd2c5268e41cdece1b0506bcda3b9eba2998119,,Block,High,PCPJack crypto_util.py / _cu.py - Encryption Module,Encrypts stolen credentials using X25519 ECDH + ChaCha20-Poly1305 before exfiltration to attacker Telegram channel. Falls back to plaintext if cryptography library missing.,Presence indicates active PCPJack infection. Isolate host immediately and rotate all credentials. Review Telegram bot traffic.,,,T1041,TRUE
FileSha1,848ef1f638807826586802428a7ebafdc710915c,,Block,High,PCPJack cloud_ranges.py / _cr.py - Cloud IP Collector,Collects IP ranges for AWS Azure GCP Cloudflare Cloudfront and Fastly. Refreshes every 24h and writes to /var/lib/.spm/_cr/ranges.json for use by cloud scanner.,Presence indicates PCPJack cloud scanning activity. Isolate host and review outbound connections to cloud provider IP ranges.,,,T1595,TRUE
FileSha1,01cebc48016395e284ac76afc1816f143ee3e7b6,,Block,High,PCPJack cloud_scan.py / _csc.py - Cloud Port Scanner,Scans external cloud IPs for exposed Docker Kubernetes MongoDB RayML and Redis ports. Installs persistence on discovered targets via bootstrap.sh.,Block outbound scanning. Review firewall logs for port sweeps on 2375/2376 (Docker) 6443 (K8s) 27017 (MongoDB) 6379 (Redis) 8265 (RayML).,,,T1046,TRUE
FileSha1,005587975a483876c1fa26b64b418931019be38f,,Block,High,PCPJack Sliver Beacon - 64-bit (update.bin),Sliver C2 beacon compiled with garble obfuscation targeting Intel-based cloud infrastructure. Saved as /var/tmp/apt-daily-upgrade to blend in with system processes.,Isolate host immediately. Remove /var/tmp/apt-daily-upgrade. Hunt for Sliver beacon artifacts. Block C2 infrastructure. Full incident response recommended.,,,T1071,TRUE
FileSha1,2fab324eb0d927846c8744dc0e217beea65138e0,,Block,High,PCPJack Sliver Beacon - 32-bit (update-386.bin),32-bit Sliver C2 beacon compiled with garble obfuscation. Fallback for legacy servers or 32-bit containers. Saved as /var/tmp/apt-daily-upgrade.,Isolate host immediately. Remove /var/tmp/apt-daily-upgrade. Hunt for Sliver beacon artifacts. Block C2 infrastructure. Full incident response recommended.,,,T1071,TRUE
FileSha1,6060da100b5cd587131a1c11a20d6e0108604744,,Block,High,PCPJack Sliver Beacon - ARM (update-arm.bin),ARM architecture Sliver C2 beacon compiled with garble obfuscation targeting ARM-based cloud workloads. Saved as /var/tmp/apt-daily-upgrade.,Isolate host immediately. Remove /var/tmp/apt-daily-upgrade. Hunt for Sliver beacon artifacts. Block C2 infrastructure. Full incident response recommended.,,,T1071,TRUE
